Timestamp,Dataset,p,Critical_k,Speedup_At_k
2026-01-25 19:23:39,Residential_p50,50,25,0.2668
2026-01-25 19:23:39,Residential_p50,50,38,0.3982
2026-01-25 19:23:39,Residential_p50,50,44,0.4414
2026-01-25 19:23:40,Residential_p50,50,47,0.4416
2026-01-25 19:23:40,Residential_p50,50,49,0.4472
2026-01-25 19:23:40,Residential_p50,50,50,0.4497
2026-01-25 19:23:40,Residential_p75,75,38,0.5273
2026-01-25 19:23:40,Residential_p75,75,57,0.8419
2026-01-25 19:23:40,Residential_p75,75,66,0.8994
2026-01-25 19:23:40,Residential_p75,75,71,0.9718
2026-01-25 19:23:41,Residential_p100,100,50,0.8960
2026-01-25 19:23:41,Residential_p100,100,75,1.5871
2026-01-25 19:23:41,Residential_p100,100,62,1.2483
2026-01-25 19:23:41,Residential_p100,100,56,1.0745
2026-01-25 19:23:42,Residential_p100,100,53,1.0061
2026-01-25 19:24:01,Residential_p50,50,25,0.2614
2026-01-25 19:24:01,Residential_p50,50,38,0.3931
2026-01-25 19:24:01,Residential_p50,50,44,0.4130
2026-01-25 19:24:01,Residential_p50,50,47,0.4431
2026-01-25 19:24:01,Residential_p50,50,49,0.4451
2026-01-25 19:24:02,Residential_p50,50,50,0.4553
2026-01-25 19:24:02,Residential_p75,75,38,0.5184
2026-01-25 19:24:02,Residential_p75,75,57,0.8367
2026-01-25 19:24:02,Residential_p75,75,66,0.8996
2026-01-25 19:24:02,Residential_p75,75,71,0.9466
2026-01-25 19:24:02,Residential_p75,75,73,1.0245
2026-01-25 19:24:03,Residential_p100,100,50,0.9267
2026-01-25 19:24:03,Residential_p100,100,75,1.6040
2026-01-25 19:24:03,Residential_p100,100,62,1.2806
2026-01-25 19:24:03,Residential_p100,100,56,1.0395
2026-01-25 19:24:12,Secom_p50,50,25,0.2469
2026-01-25 19:24:12,Secom_p50,50,38,0.3971
2026-01-25 19:24:13,Secom_p50,50,44,0.4419
2026-01-25 19:24:13,Secom_p50,50,47,0.4546
2026-01-25 19:24:13,Secom_p50,50,49,0.4620
2026-01-25 19:24:13,Secom_p50,50,50,0.4601
2026-01-25 19:24:13,Secom_p75,75,38,0.5067
2026-01-25 19:24:13,Secom_p75,75,57,0.8395
2026-01-25 19:24:13,Secom_p75,75,66,0.8531
2026-01-25 19:24:13,Secom_p75,75,71,1.1488
2026-01-25 19:24:14,Secom_p75,75,68,0.9665
2026-01-25 19:24:14,Secom_p100,100,50,0.9282
2026-01-25 19:24:14,Secom_p100,100,75,1.7764
2026-01-25 19:24:14,Secom_p100,100,62,1.2370
2026-01-25 19:24:15,Secom_p100,100,56,1.0743
2026-01-25 19:24:15,Secom_p100,100,53,1.0048
2026-01-25 19:24:15,Secom_p125,125,63,1.4302
2026-01-25 19:24:15,Secom_p125,125,31,0.4877
2026-01-25 19:24:16,Secom_p125,125,47,0.9126
2026-01-25 19:24:16,Secom_p125,125,55,1.1500
2026-01-25 19:24:16,Secom_p125,125,51,1.0407
2026-01-25 19:24:17,Secom_p150,150,75,2.0248
2026-01-25 19:24:17,Secom_p150,150,37,0.6278
2026-01-25 19:24:17,Secom_p150,150,56,1.2212
2026-01-25 19:24:18,Secom_p150,150,46,0.8947
2026-01-25 19:24:18,Secom_p150,150,51,1.0553
2026-01-25 19:24:18,Secom_p150,150,48,0.9575
2026-01-25 19:24:19,Secom_p175,175,88,2.6915
2026-01-25 19:24:19,Secom_p175,175,44,0.8082
2026-01-25 19:24:20,Secom_p175,175,66,1.5972
2026-01-25 19:24:20,Secom_p175,175,55,1.1611
2026-01-25 19:24:21,Secom_p175,175,49,0.9596
2026-01-25 19:24:22,Secom_p200,200,100,3.8795
2026-01-25 19:24:22,Secom_p200,200,50,1.0942
2026-01-25 19:24:23,Secom_p200,200,25,0.3537
2026-01-25 19:24:23,Secom_p200,200,37,0.6701
2026-01-25 19:24:23,Secom_p200,200,43,0.8521
2026-01-25 19:24:24,Secom_p200,200,46,0.9456
2026-01-25 19:24:24,Secom_p200,200,48,1.0148
2026-01-25 19:24:26,Secom_p225,225,113,4.3640
2026-01-25 19:24:26,Secom_p225,225,56,1.1492
2026-01-25 19:24:27,Secom_p225,225,28,0.3680
2026-01-25 19:24:27,Secom_p225,225,42,0.7010
2026-01-25 19:24:28,Secom_p225,225,49,0.9094
2026-01-25 19:24:28,Secom_p225,225,52,1.0109
2026-01-25 19:24:30,Secom_p250,250,125,5.3878
2026-01-25 19:24:31,Secom_p250,250,62,1.3366
2026-01-25 19:24:32,Secom_p250,250,31,0.4151
2026-01-25 19:24:32,Secom_p250,250,46,0.7912
2026-01-25 19:24:33,Secom_p250,250,54,1.0484
2026-01-25 19:24:36,Secom_p275,275,138,5.8017
2026-01-25 19:24:37,Secom_p275,275,69,1.5204
2026-01-25 19:24:38,Secom_p275,275,34,0.4389
2026-01-25 19:24:39,Secom_p275,275,51,0.8692
2026-01-25 19:24:39,Secom_p275,275,60,1.1564
2026-01-25 19:24:40,Secom_p275,275,55,0.9921
2026-01-25 19:24:44,Secom_p300,300,150,7.5377
2026-01-25 19:24:45,Secom_p300,300,75,1.8165
2026-01-25 19:24:46,Secom_p300,300,37,0.4969
2026-01-25 19:24:47,Secom_p300,300,56,1.0116
2026-01-25 19:24:52,Secom_p325,325,163,8.2143
2026-01-25 19:24:54,Secom_p325,325,81,1.9072
2026-01-25 19:24:55,Secom_p325,325,40,0.4995
2026-01-25 19:24:56,Secom_p325,325,60,1.0235
2026-01-25 19:25:02,Secom_p350,350,175,9.6605
2026-01-25 19:25:04,Secom_p350,350,87,2.1884
2026-01-25 19:25:05,Secom_p350,350,43,0.5545
2026-01-25 19:25:07,Secom_p350,350,65,1.1840
2026-01-25 19:25:08,Secom_p350,350,54,0.8368
2026-01-25 19:25:09,Secom_p350,350,59,0.9768
2026-01-25 19:25:17,Secom_p375,375,188,10.8044
2026-01-25 19:25:20,Secom_p375,375,94,2.4608
2026-01-25 19:25:21,Secom_p375,375,47,0.6093
2026-01-25 19:25:23,Secom_p375,375,70,1.3029
2026-01-25 19:25:24,Secom_p375,375,58,0.8894
2026-01-25 19:25:26,Secom_p375,375,64,1.0638
2026-01-25 19:25:27,Secom_p375,375,61,0.9752
2026-01-25 19:25:37,Secom_p400,400,200,13.5843
2026-01-25 19:25:40,Secom_p400,400,100,2.9818
2026-01-25 19:25:42,Secom_p400,400,50,0.7232
2026-01-25 19:25:43,Secom_p400,400,75,1.6099
2026-01-25 19:25:45,Secom_p400,400,62,1.0815
2026-01-25 19:25:46,Secom_p400,400,56,0.8895
2026-01-25 19:25:48,Secom_p400,400,59,0.9803
2026-01-25 19:26:01,Secom_p425,425,213,12.9892
2026-01-25 19:26:04,Secom_p425,425,106,2.7815
2026-01-25 19:26:06,Secom_p425,425,53,0.6583
2026-01-25 19:26:08,Secom_p425,425,79,1.4801
2026-01-25 19:26:10,Secom_p425,425,66,0.9960
2026-01-25 19:26:26,Secom_p450,450,225,14.9014
2026-01-25 19:26:31,Secom_p450,450,112,3.1617
2026-01-25 19:26:32,Secom_p450,450,56,0.7219
2026-01-25 19:26:35,Secom_p450,450,84,1.6676
2026-01-25 19:26:37,Secom_p450,450,70,1.1582
2026-01-25 19:26:39,Secom_p450,450,63,0.9040
2026-01-25 19:26:41,Secom_p450,450,66,0.9949
